timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
4h,signal_close,800.0,150.0,fixed_rr,2.0,285,83,202,29.12,-28368.0,-99.54,0.824,-41600.0,4.21,83,201
4h,next_open,800.0,150.0,fixed_rr,2.0,285,83,202,29.12,-28368.0,-99.54,0.824,-41600.0,3.2,83,201
2h,signal_close,200.0,150.0,fixed_rr,2.0,631,163,468,25.83,-28400.0,-45.01,0.697,-31000.0,1.35,163,468
2h,signal_close,1000.0,100.0,fixed_rr,1.0,507,239,268,47.14,-28447.5,-56.11,0.894,-43000.0,6.2,239,267
2h,next_open,1000.0,100.0,fixed_rr,1.0,507,239,268,47.14,-28447.5,-56.11,0.894,-43000.0,5.23,239,267
1h,next_open,800.0,150.0,fixed_rr,1.0,898,431,467,48.0,-28477.0,-31.71,0.924,-44000.0,7.14,431,466
2h,signal_close,500.0,100.0,fixed_rr,2.0,594,179,415,30.13,-28500.0,-47.98,0.863,-34000.0,3.85,179,415
2h,signal_close,500.0,300.0,fixed_rr,2.0,501,148,353,29.54,-28500.0,-56.89,0.839,-32000.0,3.47,148,353
4h,signal_close,300.0,300.0,fixed_rr,1.0,295,100,195,33.9,-28500.0,-96.61,0.513,-28500.0,1.12,100,195
4h,next_open,300.0,300.0,fixed_rr,1.0,295,100,195,33.9,-28500.0,-96.61,0.513,-29100.0,0.14,100,195
1h,next_open,200.0,200.0,fixed_rr,1.5,1064,369,695,34.68,-28585.0,-26.87,0.794,-29700.0,0.54,368,695
2h,signal_close,200.0,200.0,fixed_rr,2.0,602,153,449,25.42,-28600.0,-47.51,0.682,-30600.0,1.32,153,449
1h,signal_close,600.0,150.0,fixed_rr,1.5,964,367,597,38.07,-28784.5,-29.86,0.92,-41400.0,7.41,366,597
