timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,signal_close,1000.0,150.0,fixed_rr,2.0,5,2,3,40.0,-988.5,-197.7,0.67,-2000.0,25.6,1,3
1h,next_open,1000.0,50.0,fixed_rr,2.0,5,2,3,40.0,-989.0,-197.8,0.67,-2000.0,24.6,1,3
1h,next_open,1000.0,100.0,fixed_rr,2.0,5,2,3,40.0,-989.0,-197.8,0.67,-2000.0,24.6,1,3
1h,next_open,1000.0,150.0,fixed_rr,2.0,5,2,3,40.0,-989.0,-197.8,0.67,-2000.0,24.6,1,3
1h,signal_close,1000.0,400.0,fixed_rr,3.0,1,0,1,0.0,-1000.0,-1000.0,0.0,-1000.0,20.0,0,1
1h,next_open,1000.0,400.0,fixed_rr,3.0,1,0,1,0.0,-1000.0,-1000.0,0.0,-1000.0,19.0,0,1
1h,signal_close,600.0,200.0,fixed_rr,1.0,7,3,4,42.86,-1188.5,-169.79,0.505,-1200.0,7.29,2,4
1h,next_open,600.0,200.0,fixed_rr,1.0,7,3,4,42.86,-1189.0,-169.86,0.505,-1200.0,6.29,2,4
1h,next_open,1000.0,50.0,fixed_rr,3.0,3,1,2,33.33,-1209.5,-403.17,0.395,-2000.0,47.67,0,2
1h,next_open,1000.0,100.0,fixed_rr,3.0,3,1,2,33.33,-1209.5,-403.17,0.395,-2000.0,47.67,0,2
1h,next_open,1000.0,150.0,fixed_rr,3.0,3,1,2,33.33,-1209.5,-403.17,0.395,-2000.0,47.67,0,2
1h,next_open,1000.0,200.0,fixed_rr,3.0,3,1,2,33.33,-1209.5,-403.17,0.395,-2000.0,38.67,0,2
1h,next_open,1000.0,300.0,fixed_rr,3.0,3,1,2,33.33,-1209.5,-403.17,0.395,-2000.0,45.67,0,2
1h,signal_close,1000.0,50.0,fixed_rr,3.0,3,1,2,33.33,-1213.5,-404.5,0.393,-2000.0,48.67,0,2
1h,signal_close,1000.0,100.0,fixed_rr,3.0,3,1,2,33.33,-1213.5,-404.5,0.393,-2000.0,48.67,0,2
1h,signal_close,1000.0,150.0,fixed_rr,3.0,3,1,2,33.33,-1213.5,-404.5,0.393,-2000.0,48.67,0,2
1h,signal_close,1000.0,200.0,fixed_rr,3.0,3,1,2,33.33,-1213.5,-404.5,0.393,-2000.0,39.67,0,2
1h,signal_close,1000.0,300.0,fixed_rr,3.0,3,1,2,33.33,-1213.5,-404.5,0.393,-2000.0,46.67,0,2
1h,signal_close,800.0,50.0,fixed_rr,1.0,8,3,5,37.5,-1281.0,-160.12,0.652,-2400.0,11.62,3,4
1h,signal_close,800.0,100.0,fixed_rr,1.0,8,3,5,37.5,-1281.0,-160.12,0.652,-2400.0,11.62,3,4
1h,signal_close,800.0,150.0,fixed_rr,1.0,8,3,5,37.5,-1281.0,-160.12,0.652,-2400.0,11.62,3,4
1h,signal_close,800.0,200.0,fixed_rr,3.0,6,1,5,16.67,-1281.0,-213.5,0.652,-2400.0,17.67,1,4
1h,next_open,800.0,50.0,fixed_rr,1.0,8,3,5,37.5,-1281.0,-160.12,0.652,-2400.0,10.62,3,4
1h,next_open,800.0,100.0,fixed_rr,1.0,8,3,5,37.5,-1281.0,-160.12,0.652,-2400.0,10.62,3,4
1h,next_open,800.0,150.0,fixed_rr,1.0,8,3,5,37.5,-1281.0,-160.12,0.652,-2400.0,10.62,3,4
1h,next_open,800.0,200.0,fixed_rr,3.0,6,1,5,16.67,-1281.0,-213.5,0.652,-2400.0,16.67,1,4
1h,signal_close,800.0,200.0,fixed_rr,1.0,6,2,4,33.33,-1281.0,-213.5,0.555,-1600.0,10.0,2,3
1h,next_open,800.0,200.0,fixed_rr,1.0,6,2,4,33.33,-1281.0,-213.5,0.555,-1600.0,9.0,2,3
1h,signal_close,800.0,50.0,fixed_rr,3.0,7,1,6,14.29,-2081.0,-297.29,0.536,-3200.0,18.71,1,5
1h,signal_close,800.0,100.0,fixed_rr,3.0,7,1,6,14.29,-2081.0,-297.29,0.536,-3200.0,18.71,1,5
1h,signal_close,800.0,150.0,fixed_rr,3.0,7,1,6,14.29,-2081.0,-297.29,0.536,-3200.0,18.71,1,5
1h,next_open,800.0,50.0,fixed_rr,3.0,7,1,6,14.29,-2081.0,-297.29,0.536,-3200.0,17.71,1,5
1h,next_open,800.0,100.0,fixed_rr,3.0,7,1,6,14.29,-2081.0,-297.29,0.536,-3200.0,17.71,1,5
1h,next_open,800.0,150.0,fixed_rr,3.0,7,1,6,14.29,-2081.0,-297.29,0.536,-3200.0,17.71,1,5
