timestamp,datetime,open,high,low,close,volume
1703851200,2023-12-29 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,10.0
1703858400,2023-12-29 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703865600,2023-12-29 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703872800,2023-12-29 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703880000,2023-12-29 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703887200,2023-12-29 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703894400,2023-12-30 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703901600,2023-12-30 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703908800,2023-12-30 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703916000,2023-12-30 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703923200,2023-12-30 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703930400,2023-12-30 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703937600,2023-12-30 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703944800,2023-12-30 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703952000,2023-12-30 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703959200,2023-12-30 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703966400,2023-12-30 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703973600,2023-12-30 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703980800,2023-12-31 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703988000,2023-12-31 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1703995200,2023-12-31 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704002400,2023-12-31 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704009600,2023-12-31 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704016800,2023-12-31 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704024000,2023-12-31 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704031200,2023-12-31 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704038400,2023-12-31 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704045600,2023-12-31 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704052800,2023-12-31 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704060000,2023-12-31 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704067200,2024-01-01 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704074400,2024-01-01 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704081600,2024-01-01 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704088800,2024-01-01 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704096000,2024-01-01 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704103200,2024-01-01 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704110400,2024-01-01 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704117600,2024-01-01 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704124800,2024-01-01 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704132000,2024-01-01 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704139200,2024-01-01 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704146400,2024-01-01 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704153600,2024-01-02 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704160800,2024-01-02 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704168000,2024-01-02 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704175200,2024-01-02 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704182400,2024-01-02 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704189600,2024-01-02 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704196800,2024-01-02 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704204000,2024-01-02 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704211200,2024-01-02 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704218400,2024-01-02 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704225600,2024-01-02 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704232800,2024-01-02 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704240000,2024-01-03 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704247200,2024-01-03 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704254400,2024-01-03 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704261600,2024-01-03 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704268800,2024-01-03 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704276000,2024-01-03 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704283200,2024-01-03 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704290400,2024-01-03 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704297600,2024-01-03 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704304800,2024-01-03 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704312000,2024-01-03 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704319200,2024-01-03 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704326400,2024-01-04 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704333600,2024-01-04 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704340800,2024-01-04 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704348000,2024-01-04 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704355200,2024-01-04 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704362400,2024-01-04 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704369600,2024-01-04 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704376800,2024-01-04 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704384000,2024-01-04 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704391200,2024-01-04 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704398400,2024-01-04 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704405600,2024-01-04 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704412800,2024-01-05 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704420000,2024-01-05 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704427200,2024-01-05 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704434400,2024-01-05 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704441600,2024-01-05 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704448800,2024-01-05 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704456000,2024-01-05 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704463200,2024-01-05 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704470400,2024-01-05 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704477600,2024-01-05 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704484800,2024-01-05 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704492000,2024-01-05 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704499200,2024-01-06 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704506400,2024-01-06 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704513600,2024-01-06 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704520800,2024-01-06 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704528000,2024-01-06 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704535200,2024-01-06 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704542400,2024-01-06 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704549600,2024-01-06 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704556800,2024-01-06 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704564000,2024-01-06 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704571200,2024-01-06 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704578400,2024-01-06 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704585600,2024-01-07 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704592800,2024-01-07 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704600000,2024-01-07 04:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704607200,2024-01-07 06:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704614400,2024-01-07 08:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704621600,2024-01-07 10:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704628800,2024-01-07 12:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704636000,2024-01-07 14:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704643200,2024-01-07 16:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704650400,2024-01-07 18:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704657600,2024-01-07 20:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704664800,2024-01-07 22:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704672000,2024-01-08 00:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
1704679200,2024-01-08 02:00:00+00:00,42773.0,42773.0,42773.0,42773.0,0.0
