entry_time,exit_time,side,entry,exit,stop_loss,take_profit,pnl_points,bars_held,exit_reason
2024-02-15 06:00:00+00:00,2024-02-15 14:00:00+00:00,short,51953.0,51805.94,52953.0,51805.94,147.06,4,take_profit
2024-02-27 22:00:00+00:00,2024-02-28 06:00:00+00:00,short,56705.0,57705.0,57705.0,56734.48,-1000.0,4,stop_loss
2024-02-29 02:00:00+00:00,2024-02-29 04:00:00+00:00,short,61426.0,62426.0,62426.0,60500.83,-1000.0,1,stop_loss
2024-03-01 12:00:00+00:00,2024-03-01 14:00:00+00:00,short,61901.0,61403.93,62901.0,61403.93,497.07,1,take_profit
2024-03-04 06:00:00+00:00,2024-03-04 08:00:00+00:00,short,63406.0,64406.0,64406.0,63214.75,-1000.0,1,stop_loss
2024-03-06 14:00:00+00:00,2024-03-06 18:00:00+00:00,short,66423.0,67423.0,67423.0,65668.78,-1000.0,2,stop_loss
2024-03-07 14:00:00+00:00,2024-03-07 16:00:00+00:00,short,66999.5,67999.5,67999.5,66514.48,-1000.0,1,stop_loss
2024-03-08 22:00:00+00:00,2024-03-09 10:00:00+00:00,short,68105.0,67979.9,69105.0,67979.9,125.1,6,take_profit
2024-03-11 20:00:00+00:00,2024-03-12 02:00:00+00:00,short,72017.5,71605.33,73017.5,71605.33,412.17,3,take_profit
2024-03-14 00:00:00+00:00,2024-03-14 00:00:00+00:00,short,73086.5,72568.49,74086.5,72568.49,518.01,0,take_profit
2024-03-18 08:00:00+00:00,2024-03-18 08:00:00+00:00,short,68230.0,67545.7,69230.0,67545.7,684.3,0,take_profit
2024-03-21 04:00:00+00:00,2024-03-21 14:00:00+00:00,short,66786.0,66325.28,67786.0,66325.28,460.72,5,take_profit
2024-03-22 08:00:00+00:00,2024-03-22 08:00:00+00:00,short,66202.0,65556.01,67202.0,65556.01,645.99,0,take_profit
2024-03-23 10:00:00+00:00,2024-03-23 16:00:00+00:00,short,64539.0,65539.0,65539.0,64256.69,-1000.0,3,stop_loss
2024-03-23 20:00:00+00:00,2024-03-23 22:00:00+00:00,short,64963.5,64327.0,65963.5,64327.0,636.5,1,take_profit
2024-03-25 02:00:00+00:00,2024-03-25 04:00:00+00:00,short,66597.0,67597.0,67597.0,66181.19,-1000.0,1,stop_loss
2024-03-25 08:00:00+00:00,2024-03-25 12:00:00+00:00,short,66813.5,67813.5,67813.5,66591.81,-1000.0,2,stop_loss
2024-03-26 06:00:00+00:00,2024-03-26 06:00:00+00:00,short,70311.5,71311.5,71311.5,69760.17,-1000.0,0,stop_loss
2024-03-26 12:00:00+00:00,2024-03-26 14:00:00+00:00,short,70700.5,69900.78,71700.5,69900.78,799.72,1,take_profit
2024-03-28 18:00:00+00:00,2024-03-29 02:00:00+00:00,short,70835.5,70439.63,71835.5,70439.63,395.87,4,take_profit
2024-04-04 22:00:00+00:00,2024-04-05 04:00:00+00:00,short,67822.0,67145.56,68822.0,67145.56,676.44,3,take_profit
2024-04-05 18:00:00+00:00,2024-04-06 12:00:00+00:00,short,67461.0,67602.33,68461.0,67602.33,-141.33,9,take_profit
2024-04-07 10:00:00+00:00,2024-04-07 16:00:00+00:00,short,69310.5,70310.5,70310.5,69196.37,-1000.0,3,stop_loss
2024-04-08 18:00:00+00:00,2024-04-09 00:00:00+00:00,short,71721.0,71190.8,72721.0,71190.8,530.2,3,take_profit
2024-04-12 08:00:00+00:00,2024-04-12 12:00:00+00:00,short,70786.5,70232.91,71786.5,70232.91,553.59,2,take_profit
2024-04-15 04:00:00+00:00,2024-04-15 06:00:00+00:00,short,65168.5,66168.5,66168.5,64572.94,-1000.0,1,stop_loss
2024-04-15 12:00:00+00:00,2024-04-15 14:00:00+00:00,short,65882.0,64931.21,66882.0,64931.21,950.79,1,take_profit
2024-04-17 04:00:00+00:00,2024-04-17 08:00:00+00:00,short,63852.5,63219.36,64852.5,63219.36,633.14,2,take_profit
2024-04-18 18:00:00+00:00,2024-04-18 20:00:00+00:00,short,62810.0,63810.0,63810.0,62303.76,-1000.0,1,stop_loss
2024-04-19 16:00:00+00:00,2024-04-19 22:00:00+00:00,short,64448.5,63444.98,65448.5,63444.98,1003.52,3,take_profit
2024-04-20 22:00:00+00:00,2024-04-21 16:00:00+00:00,short,64739.5,64628.38,65739.5,64628.38,111.12,9,take_profit
2024-04-22 22:00:00+00:00,2024-04-23 04:00:00+00:00,short,66543.5,66250.74,67543.5,66250.74,292.76,3,take_profit
2024-04-29 20:00:00+00:00,2024-04-29 22:00:00+00:00,short,62994.0,63994.0,63994.0,62631.55,-1000.0,1,stop_loss
2024-04-30 02:00:00+00:00,2024-04-30 08:00:00+00:00,short,63628.0,62657.8,64628.0,62657.8,970.2,3,take_profit
2024-05-02 22:00:00+00:00,2024-05-03 10:00:00+00:00,short,59105.0,58988.37,60105.0,58988.37,116.63,6,take_profit
2024-05-04 08:00:00+00:00,2024-05-04 10:00:00+00:00,short,62951.5,63951.5,63951.5,62613.65,-1000.0,1,stop_loss
2024-05-04 16:00:00+00:00,2024-05-05 00:00:00+00:00,short,63640.0,63229.01,64640.0,63229.01,410.99,4,take_profit
2024-05-05 18:00:00+00:00,2024-05-05 20:00:00+00:00,short,64229.0,63676.58,65229.0,63676.58,552.42,1,take_profit
2024-05-09 18:00:00+00:00,2024-05-09 22:00:00+00:00,short,61957.5,62957.5,62957.5,61863.33,-1000.0,2,stop_loss
2024-05-10 06:00:00+00:00,2024-05-10 14:00:00+00:00,short,62782.5,62171.43,63782.5,62171.43,611.07,4,take_profit
2024-05-13 18:00:00+00:00,2024-05-14 02:00:00+00:00,short,62814.0,62499.66,63814.0,62499.66,314.34,4,take_profit
2024-05-16 06:00:00+00:00,2024-05-16 12:00:00+00:00,short,65809.0,66809.0,66809.0,65702.62,-1000.0,3,stop_loss
2024-05-17 18:00:00+00:00,2024-05-18 14:00:00+00:00,short,66721.5,66739.45,67721.5,66739.45,-17.95,10,take_profit
2024-05-25 00:00:00+00:00,2024-05-25 10:00:00+00:00,short,68577.0,69577.0,69577.0,68658.11,-1000.0,5,stop_loss
2024-05-30 20:00:00+00:00,2024-05-31 06:00:00+00:00,short,68684.5,68205.29,69684.5,68205.29,479.21,5,take_profit
2024-06-02 16:00:00+00:00,2024-06-02 18:00:00+00:00,short,68178.0,67652.3,69178.0,67652.3,525.7,1,take_profit
2024-06-03 18:00:00+00:00,2024-06-03 22:00:00+00:00,short,69300.0,68786.3,70300.0,68786.3,513.7,2,take_profit
2024-06-05 20:00:00+00:00,2024-06-05 22:00:00+00:00,short,71298.0,70813.64,72298.0,70813.64,484.36,1,take_profit
2024-06-17 22:00:00+00:00,2024-06-18 00:00:00+00:00,short,66556.0,65647.42,67556.0,65647.42,908.58,1,take_profit
2024-06-25 06:00:00+00:00,2024-06-25 14:00:00+00:00,short,61072.0,62072.0,62072.0,60830.1,-1000.0,4,stop_loss
2024-06-25 18:00:00+00:00,2024-06-25 18:00:00+00:00,short,61352.0,62352.0,62352.0,60989.31,-1000.0,0,stop_loss
2024-06-27 16:00:00+00:00,2024-06-28 06:00:00+00:00,short,61589.5,61379.52,62589.5,61379.52,209.98,7,take_profit
2024-07-01 20:00:00+00:00,2024-07-01 22:00:00+00:00,short,63228.0,62845.69,64228.0,62845.69,382.31,1,take_profit
2024-07-07 04:00:00+00:00,2024-07-07 04:00:00+00:00,short,57945.5,57507.81,58945.5,57507.81,437.69,0,take_profit
2024-07-09 12:00:00+00:00,2024-07-10 00:00:00+00:00,short,57429.5,57364.8,58429.5,57364.8,64.7,6,take_profit
2024-07-10 10:00:00+00:00,2024-07-10 12:00:00+00:00,short,58497.5,57951.53,59497.5,57951.53,545.97,1,take_profit
2024-07-11 14:00:00+00:00,2024-07-11 14:00:00+00:00,short,58571.5,57740.05,59571.5,57740.05,831.45,0,take_profit
2024-07-15 12:00:00+00:00,2024-07-15 16:00:00+00:00,short,62452.5,63452.5,63452.5,62332.65,-1000.0,2,stop_loss
2024-07-16 22:00:00+00:00,2024-07-17 00:00:00+00:00,short,64480.0,65480.0,65480.0,64169.71,-1000.0,1,stop_loss
2024-07-19 06:00:00+00:00,2024-07-19 06:00:00+00:00,short,64161.0,63691.02,65161.0,63691.02,469.98,0,take_profit
2024-07-20 02:00:00+00:00,2024-07-20 12:00:00+00:00,short,66341.0,66296.92,67341.0,66296.92,44.08,5,take_profit
2024-07-20 22:00:00+00:00,2024-07-21 06:00:00+00:00,short,67127.0,66790.32,68127.0,66790.32,336.68,4,take_profit
2024-07-22 02:00:00+00:00,2024-07-22 06:00:00+00:00,short,67836.0,67294.82,68836.0,67294.82,541.18,2,take_profit
2024-07-22 22:00:00+00:00,2024-07-23 00:00:00+00:00,short,67854.5,67206.43,68854.5,67206.43,648.07,1,take_profit
2024-07-24 12:00:00+00:00,2024-07-24 16:00:00+00:00,short,66370.0,66006.79,67370.0,66006.79,363.21,2,take_profit
2024-07-25 20:00:00+00:00,2024-07-25 20:00:00+00:00,short,64734.5,65734.5,65734.5,64251.7,-1000.0,0,stop_loss
2024-07-26 18:00:00+00:00,2024-07-27 12:00:00+00:00,short,67360.0,68360.0,68360.0,67871.58,-1000.0,9,stop_loss
2024-08-02 02:00:00+00:00,2024-08-02 02:00:00+00:00,short,64660.5,63871.26,65660.5,63871.26,789.24,0,take_profit
2024-08-05 20:00:00+00:00,2024-08-05 20:00:00+00:00,short,53472.0,54472.0,54472.0,52653.5,-1000.0,0,stop_loss
2024-08-06 10:00:00+00:00,2024-08-06 12:00:00+00:00,short,55207.0,54542.32,56207.0,54542.32,664.68,1,take_profit
2024-08-06 22:00:00+00:00,2024-08-07 00:00:00+00:00,short,56453.0,55609.35,57453.0,55609.35,843.65,1,take_profit
2024-08-07 12:00:00+00:00,2024-08-07 14:00:00+00:00,short,56967.5,56309.16,57967.5,56309.16,658.34,1,take_profit
2024-08-09 06:00:00+00:00,2024-08-09 10:00:00+00:00,short,60983.5,60239.72,61983.5,60239.72,743.78,2,take_profit
2024-08-12 18:00:00+00:00,2024-08-13 08:00:00+00:00,short,59307.5,58795.4,60307.5,58795.4,512.1,7,take_profit
2024-08-14 00:00:00+00:00,2024-08-14 12:00:00+00:00,short,60573.5,61573.5,61573.5,60253.07,-1000.0,6,stop_loss
2024-08-16 12:00:00+00:00,2024-08-16 12:00:00+00:00,short,58397.5,57799.45,59397.5,57799.45,598.05,0,take_profit
2024-08-16 22:00:00+00:00,2024-08-17 20:00:00+00:00,short,58987.0,59162.66,59987.0,59162.66,-175.66,11,take_profit
2024-08-22 02:00:00+00:00,2024-08-22 02:00:00+00:00,short,60964.0,60089.34,61964.0,60089.34,874.66,0,take_profit
2024-09-03 04:00:00+00:00,2024-09-03 08:00:00+00:00,short,59111.0,58756.77,60111.0,58756.77,354.23,2,take_profit
2024-09-05 00:00:00+00:00,2024-09-05 02:00:00+00:00,short,57973.5,57371.71,58973.5,57371.71,601.79,1,take_profit
2024-09-09 16:00:00+00:00,2024-09-09 16:00:00+00:00,short,55383.0,56383.0,56383.0,54926.55,-1000.0,0,stop_loss
2024-09-10 10:00:00+00:00,2024-09-10 14:00:00+00:00,short,57073.0,56596.36,58073.0,56596.36,476.64,2,take_profit
2024-09-10 22:00:00+00:00,2024-09-11 00:00:00+00:00,short,57529.0,56950.5,58529.0,56950.5,578.5,1,take_profit
2024-09-11 22:00:00+00:00,2024-09-12 02:00:00+00:00,short,57306.5,58306.5,58306.5,57161.36,-1000.0,2,stop_loss
2024-09-12 06:00:00+00:00,2024-09-12 12:00:00+00:00,short,57966.0,57588.04,58966.0,57588.04,377.96,3,take_profit
2024-09-17 14:00:00+00:00,2024-09-17 14:00:00+00:00,short,58963.0,59963.0,59963.0,58592.74,-1000.0,0,stop_loss
2024-09-17 20:00:00+00:00,2024-09-18 08:00:00+00:00,short,59949.5,59862.54,60949.5,59862.54,86.96,6,take_profit
2024-09-20 08:00:00+00:00,2024-09-20 12:00:00+00:00,short,63519.0,63007.87,64519.0,63007.87,511.13,2,take_profit
2024-09-23 06:00:00+00:00,2024-09-23 12:00:00+00:00,short,63749.5,63185.21,64749.5,63185.21,564.29,3,take_profit
2024-09-24 22:00:00+00:00,2024-09-25 06:00:00+00:00,short,64034.0,63822.99,65034.0,63822.99,211.01,4,take_profit
2024-09-26 20:00:00+00:00,2024-09-27 08:00:00+00:00,short,64707.5,65707.5,65707.5,65007.87,-1000.0,6,stop_loss
2024-09-27 18:00:00+00:00,2024-09-28 08:00:00+00:00,short,65906.0,65648.1,66906.0,65648.1,257.9,7,take_profit
2024-10-04 10:00:00+00:00,2024-10-04 14:00:00+00:00,short,61335.0,60970.95,62335.0,60970.95,364.05,2,take_profit
2024-10-05 00:00:00+00:00,2024-10-05 02:00:00+00:00,short,62070.5,61712.27,63070.5,61712.27,358.23,1,take_profit
2024-10-12 00:00:00+00:00,2024-10-13 00:00:00+00:00,short,62534.5,62893.75,63534.5,62893.75,-359.25,12,take_profit
