timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
2h,next_open,1000.0,400.0,ema_low,,387,245,142,63.31,14786.04,38.21,1.11,-12910.51,2.33,254,132
2h,next_open,1000.0,600.0,ema_low,,239,146,93,61.09,14776.72,61.83,1.164,-8384.75,2.25,149,90
2h,signal_close,1000.0,600.0,ema_low,,239,146,93,61.09,14470.22,60.54,1.16,-8372.75,3.24,149,90
2h,signal_close,1000.0,400.0,ema_low,,387,245,142,63.31,14334.54,37.04,1.107,-12973.01,3.32,254,132
2h,next_open,1000.0,100.0,ema_low,,551,364,187,66.06,12248.04,22.23,1.071,-14337.94,2.17,381,169
2h,signal_close,1000.0,100.0,ema_low,,551,364,187,66.06,11881.04,21.56,1.069,-14373.94,3.17,381,169
2h,next_open,1000.0,150.0,ema_low,,540,355,185,65.74,11488.9,21.28,1.067,-14370.89,2.17,370,169
2h,next_open,1000.0,50.0,ema_low,,556,367,189,66.01,11401.01,20.51,1.066,-15294.27,2.16,385,170
2h,signal_close,1000.0,150.0,ema_low,,540,355,185,65.74,11170.4,20.69,1.065,-14443.39,3.17,370,169
2h,signal_close,1000.0,50.0,ema_low,,556,367,189,66.01,11034.01,19.85,1.064,-15357.77,3.16,385,170
2h,signal_close,1000.0,600.0,fixed_rr,2.0,232,81,151,34.91,11000.0,47.41,1.073,-17000.0,8.76,81,151
2h,next_open,1000.0,600.0,fixed_rr,2.0,232,81,151,34.91,11000.0,47.41,1.073,-17000.0,7.78,81,151
2h,next_open,1000.0,300.0,ema_low,,459,294,165,64.05,10696.17,23.3,1.068,-14846.46,2.22,304,154
2h,signal_close,1000.0,300.0,ema_low,,459,294,165,64.05,10295.17,22.43,1.066,-14886.96,3.22,304,154
2h,next_open,1000.0,200.0,ema_low,,515,337,178,65.44,10241.59,19.89,1.061,-14858.39,2.17,347,167
2h,signal_close,1000.0,200.0,ema_low,,515,337,178,65.44,9918.09,19.26,1.059,-14933.39,3.17,347,167
2h,signal_close,1000.0,600.0,fixed_rr,3.0,228,59,169,25.88,8000.0,35.09,1.047,-30000.0,12.32,59,169
2h,next_open,1000.0,600.0,fixed_rr,3.0,228,59,169,25.88,8000.0,35.09,1.047,-30000.0,11.36,59,169
2h,signal_close,1000.0,600.0,fixed_rr,1.5,236,96,140,40.68,4000.0,16.95,1.029,-18500.0,6.75,96,140
2h,next_open,1000.0,600.0,fixed_rr,1.5,236,96,140,40.68,4000.0,16.95,1.029,-18500.0,5.77,96,140
2h,next_open,800.0,600.0,ema_low,,246,127,119,51.63,2294.12,9.33,1.024,-10173.97,1.85,129,117
2h,signal_close,800.0,600.0,ema_low,,246,126,120,51.22,965.46,3.92,1.01,-10127.97,2.84,128,118
2h,next_open,500.0,600.0,ema_low,,253,98,155,38.74,436.22,1.72,1.006,-9443.78,1.16,98,155
2h,next_open,800.0,400.0,ema_low,,400,222,178,55.5,434.29,1.09,1.003,-11166.29,1.92,227,172
2h,next_open,400.0,600.0,ema_low,,255,83,172,32.55,364.22,1.43,1.005,-8292.38,0.89,83,172
2h,signal_close,500.0,600.0,ema_low,,253,98,155,38.74,287.22,1.14,1.004,-9431.28,2.17,98,155
2h,signal_close,800.0,400.0,ema_low,,401,222,179,55.36,-325.09,-0.81,0.998,-11194.29,2.91,227,173
2h,signal_close,1000.0,600.0,fixed_rr,1.0,239,119,120,49.79,-1000.0,-4.18,0.992,-19000.0,5.18,119,120
2h,next_open,1000.0,600.0,fixed_rr,1.0,239,119,120,49.79,-1000.0,-4.18,0.992,-19000.0,4.19,119,120
2h,next_open,300.0,600.0,ema_low,,257,66,191,25.68,-1439.97,-5.6,0.975,-7084.35,0.56,66,191
2h,signal_close,1000.0,400.0,fixed_rr,2.0,356,118,238,33.15,-1447.5,-4.07,0.994,-35000.0,9.83,118,237
2h,next_open,1000.0,400.0,fixed_rr,2.0,356,118,238,33.15,-1447.5,-4.07,0.994,-35000.0,8.86,118,237
2h,signal_close,300.0,600.0,ema_low,,257,66,191,25.68,-1550.97,-6.03,0.973,-7135.35,1.55,66,191
2h,next_open,200.0,600.0,ema_low,,257,46,211,17.9,-1659.71,-6.46,0.961,-8028.37,0.3,46,211
2h,signal_close,400.0,600.0,ema_low,,256,82,174,32.03,-1848.63,-7.22,0.973,-8318.38,1.86,82,174
2h,signal_close,1000.0,400.0,fixed_rr,3.0,332,83,249,25.0,-2408.5,-7.25,0.99,-49000.0,13.41,82,249
2h,next_open,1000.0,400.0,fixed_rr,3.0,332,83,249,25.0,-2414.0,-7.27,0.99,-49000.0,12.45,82,249
2h,signal_close,200.0,600.0,ema_low,,257,45,212,17.51,-2561.13,-9.97,0.94,-8835.78,1.28,45,212
