timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
4h,next_open,1000.0,50.0,ema_low,,289,171,118,59.17,7845.03,27.15,1.068,-23108.41,1.66,173,115
4h,signal_close,1000.0,50.0,ema_low,,289,171,118,59.17,7834.53,27.11,1.068,-23087.91,2.66,173,115
4h,signal_close,1000.0,600.0,ema_low,,199,109,90,54.77,7541.04,37.89,1.084,-18929.22,2.76,109,89
4h,next_open,1000.0,600.0,ema_low,,199,109,90,54.77,7480.54,37.59,1.084,-18964.22,1.76,109,89
4h,next_open,1000.0,100.0,ema_low,,288,170,118,59.03,7436.17,25.82,1.064,-23517.27,1.67,172,115
4h,signal_close,1000.0,100.0,ema_low,,288,170,118,59.03,7425.67,25.78,1.064,-23496.77,2.67,172,115
4h,next_open,1000.0,150.0,ema_low,,286,168,118,58.74,7109.75,24.86,1.062,-23517.27,1.68,170,115
4h,signal_close,1000.0,150.0,ema_low,,286,168,118,58.74,7100.75,24.83,1.061,-23496.77,2.68,170,115
4h,signal_close,600.0,600.0,ema_low,,206,85,121,41.26,6719.4,32.62,1.093,-9406.73,2.06,85,121
4h,signal_close,1000.0,300.0,ema_low,,274,158,116,57.66,6278.05,22.91,1.055,-22717.3,2.7,160,113
4h,next_open,1000.0,300.0,ema_low,,274,158,116,57.66,6250.05,22.81,1.055,-22761.3,1.7,160,113
4h,next_open,600.0,600.0,ema_low,,206,84,122,40.78,5878.79,28.54,1.08,-10263.34,1.03,84,122
4h,signal_close,1000.0,200.0,ema_low,,282,164,118,58.16,5834.68,20.69,1.051,-23988.75,2.68,166,115
4h,next_open,1000.0,200.0,ema_low,,282,164,118,58.16,5776.18,20.48,1.05,-24037.25,1.68,166,115
4h,signal_close,1000.0,400.0,ema_low,,256,144,112,56.25,5053.54,19.74,1.046,-20977.9,2.73,146,109
4h,next_open,1000.0,400.0,ema_low,,256,144,112,56.25,5018.04,19.6,1.046,-21012.4,1.73,146,109
4h,signal_close,500.0,600.0,ema_low,,206,73,133,35.44,3632.88,17.64,1.055,-7574.84,1.89,73,133
4h,next_open,500.0,600.0,ema_low,,206,72,134,34.95,2376.64,11.54,1.035,-7563.34,0.88,72,134
4h,signal_close,500.0,50.0,ema_low,,310,125,185,40.32,2112.81,6.82,1.023,-10959.24,1.85,125,185
4h,signal_close,600.0,300.0,ema_low,,288,125,163,43.4,2007.89,6.97,1.021,-14439.51,2.06,125,163
4h,signal_close,800.0,600.0,ema_low,,201,95,106,47.26,1947.85,9.69,1.023,-13857.61,2.39,95,105
4h,signal_close,600.0,50.0,ema_low,,305,136,169,44.59,1906.93,6.25,1.019,-14193.91,2.02,136,169
4h,next_open,800.0,600.0,ema_low,,201,95,106,47.26,1899.85,9.45,1.023,-13892.61,1.39,95,105
4h,signal_close,600.0,400.0,ema_low,,268,113,155,42.16,1843.96,6.88,1.02,-12782.98,2.05,113,155
4h,signal_close,500.0,100.0,ema_low,,309,124,185,40.13,1703.95,5.51,1.018,-11368.11,1.85,124,185
4h,next_open,600.0,300.0,ema_low,,289,125,164,43.25,1608.89,5.57,1.016,-14886.01,1.03,125,164
4h,signal_close,1000.0,600.0,fixed_rr,1.0,199,100,99,50.25,1605.0,8.07,1.016,-16000.0,3.3,100,98
4h,next_open,1000.0,600.0,fixed_rr,1.0,199,100,99,50.25,1605.0,8.07,1.016,-16000.0,2.27,100,98
4h,next_open,600.0,50.0,ema_low,,306,136,170,44.44,1531.93,5.01,1.015,-14608.41,1.0,136,170
4h,signal_close,600.0,100.0,ema_low,,304,135,169,44.41,1498.07,4.93,1.015,-14602.77,2.03,135,169
4h,next_open,600.0,400.0,ema_low,,269,113,156,42.01,1431.46,5.32,1.015,-13200.98,1.03,113,156
4h,signal_close,500.0,150.0,ema_low,,307,122,185,39.74,1379.04,4.49,1.015,-11368.11,1.86,122,185
4h,signal_close,500.0,200.0,ema_low,,303,120,183,39.6,1376.68,4.54,1.015,-12370.47,1.86,120,183
4h,signal_close,600.0,200.0,ema_low,,298,131,167,43.96,1370.8,4.6,1.014,-15605.13,2.04,131,167
4h,signal_close,600.0,150.0,ema_low,,302,133,169,44.04,1173.16,3.88,1.012,-14602.77,2.03,133,169
4h,next_open,600.0,100.0,ema_low,,305,135,170,44.26,1123.07,3.68,1.011,-15017.27,1.01,135,170
4h,signal_close,500.0,300.0,ema_low,,291,112,179,38.49,1111.17,3.82,1.012,-11747.69,1.87,112,179
4h,signal_close,500.0,400.0,ema_low,,271,101,170,37.27,1035.52,3.82,1.012,-10002.87,1.87,101,170
4h,next_open,600.0,200.0,ema_low,,299,131,168,43.81,942.8,3.15,1.009,-16071.13,1.02,131,168
4h,next_open,500.0,50.0,ema_low,,310,124,186,40.0,909.08,2.93,1.01,-10928.74,0.84,124,186
4h,next_open,600.0,150.0,ema_low,,303,133,170,43.89,796.66,2.63,1.008,-15017.27,1.01,133,170
4h,next_open,500.0,100.0,ema_low,,309,123,186,39.81,500.21,1.62,1.005,-11337.61,0.84,123,186
4h,next_open,500.0,150.0,ema_low,,307,121,186,39.41,173.8,0.57,1.002,-11337.61,0.85,121,186
4h,next_open,500.0,200.0,ema_low,,303,119,184,39.27,119.94,0.4,1.001,-12391.47,0.85,119,184
4h,next_open,500.0,300.0,ema_low,,291,111,180,38.14,-117.57,-0.4,0.999,-11750.19,0.87,111,180
4h,next_open,500.0,400.0,ema_low,,271,100,171,36.9,-211.71,-0.78,0.998,-9981.87,0.87,100,171
4h,signal_close,400.0,600.0,ema_low,,207,60,147,28.99,-282.83,-1.37,0.995,-8085.24,1.67,60,147
4h,next_open,400.0,600.0,ema_low,,207,60,147,28.99,-326.83,-1.58,0.994,-8099.74,0.64,60,147
4h,next_open,300.0,600.0,ema_low,,207,48,159,23.19,-1523.66,-7.36,0.968,-7710.59,0.48,48,159
4h,signal_close,300.0,600.0,ema_low,,207,48,159,23.19,-1539.16,-7.44,0.968,-7695.09,1.51,48,159
4h,signal_close,400.0,50.0,ema_low,,313,107,206,34.19,-1639.9,-5.24,0.98,-9049.06,1.63,107,206
4h,next_open,800.0,50.0,ema_low,,299,154,145,51.51,-1664.25,-5.57,0.986,-20045.22,1.33,155,143
4h,next_open,400.0,50.0,ema_low,,313,107,206,34.19,-1844.9,-5.89,0.978,-9242.56,0.61,107,206
4h,signal_close,800.0,600.0,fixed_rr,1.0,201,99,102,49.25,-1995.0,-9.93,0.975,-11200.0,2.39,99,101
4h,signal_close,400.0,100.0,ema_low,,312,106,206,33.97,-2048.77,-6.57,0.975,-9457.93,1.63,106,206
4h,next_open,800.0,100.0,ema_low,,298,153,145,51.34,-2073.11,-6.96,0.982,-20454.09,1.33,154,143
4h,next_open,400.0,100.0,ema_low,,312,106,206,33.97,-2253.77,-7.22,0.973,-9651.43,0.61,106,206
4h,signal_close,400.0,150.0,ema_low,,310,104,206,33.55,-2373.68,-7.66,0.971,-9457.93,1.63,104,206
4h,next_open,800.0,150.0,ema_low,,296,151,145,51.01,-2399.52,-8.11,0.979,-20454.09,1.34,152,143
4h,signal_close,800.0,300.0,ema_low,,282,141,141,50.0,-2425.06,-8.6,0.978,-20253.58,2.36,142,139
4h,next_open,800.0,300.0,ema_low,,282,141,141,50.0,-2434.06,-8.63,0.978,-20299.08,1.36,142,139
4h,signal_close,400.0,200.0,ema_low,,306,102,204,33.33,-2576.04,-8.42,0.968,-10060.28,1.64,102,204
4h,signal_close,800.0,50.0,ema_low,,299,153,146,51.17,-2578.81,-8.62,0.978,-20023.22,2.31,154,144
