window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
6m,8,next_open,300.0,150.0,227,107,120,47.14,3611.29,15.91,1.1,-5156.39,1.08,106,120,1
6m,8,next_open,500.0,400.0,88,47,41,53.41,3463.89,39.36,1.173,-5121.69,2.05,48,40,0
6m,8,signal_close,500.0,400.0,88,47,41,53.41,3411.39,38.77,1.17,-5124.19,3.03,48,40,0
6m,8,next_open,300.0,400.0,91,36,55,39.56,2901.94,31.89,1.176,-2916.56,1.12,36,55,0
6m,8,next_open,300.0,100.0,248,119,129,47.98,2834.49,11.43,1.073,-5758.22,1.07,118,129,1
6m,8,signal_close,300.0,400.0,91,36,55,39.56,2815.94,30.94,1.171,-2916.06,2.15,36,55,0
6m,8,next_open,300.0,50.0,257,125,132,48.64,2715.59,10.57,1.069,-5659.64,1.07,124,132,1
6m,8,next_open,1000.0,400.0,82,56,26,68.29,2517.6,30.7,1.108,-5683.48,3.45,59,23,0
6m,8,signal_close,1000.0,400.0,82,56,26,68.29,2467.1,30.09,1.106,-5666.48,4.45,59,23,0
6m,8,signal_close,300.0,150.0,227,105,122,46.26,2428.19,10.7,1.066,-6245.56,2.08,104,122,1
6m,8,next_open,600.0,600.0,24,14,10,58.33,2339.27,97.47,1.39,-3000.0,2.88,14,10,0
6m,8,next_open,400.0,200.0,196,100,96,51.02,2272.32,11.59,1.06,-5957.14,1.56,100,95,1
6m,8,signal_close,400.0,200.0,196,100,96,51.02,2138.32,10.91,1.056,-6056.64,2.56,100,95,1
6m,8,signal_close,600.0,600.0,24,13,11,54.17,1753.55,73.06,1.266,-3372.21,3.42,13,11,0
6m,8,signal_close,800.0,600.0,24,15,9,62.5,1685.02,70.21,1.234,-3200.0,4.12,15,9,0
6m,8,next_open,800.0,600.0,24,15,9,62.5,1651.02,68.79,1.229,-3200.0,3.12,15,9,0
6m,8,signal_close,300.0,100.0,248,117,131,47.18,1623.39,6.55,1.041,-6539.03,2.07,116,131,1
6m,8,signal_close,300.0,50.0,257,123,134,47.86,1490.99,5.8,1.037,-6332.52,2.07,122,134,1
6m,8,next_open,300.0,300.0,142,56,86,39.44,1416.65,9.98,1.055,-3377.88,1.15,56,86,0
6m,8,signal_close,1000.0,600.0,24,16,8,66.67,1123.96,46.83,1.14,-4165.0,4.29,16,8,0
6m,8,next_open,1000.0,600.0,24,16,8,66.67,1090.46,45.44,1.136,-4181.0,3.29,16,8,0
6m,8,signal_close,300.0,300.0,142,55,87,38.73,789.89,5.56,1.03,-3973.14,2.16,55,87,0
6m,8,signal_close,200.0,400.0,91,25,66,27.47,445.63,4.9,1.034,-2059.43,1.73,25,66,0
6m,8,next_open,300.0,200.0,201,85,116,42.29,260.11,1.29,1.007,-6007.95,1.11,84,116,1
6m,8,next_open,300.0,600.0,24,7,17,29.17,197.7,8.24,1.039,-3000.0,1.08,7,17,0
6m,8,signal_close,300.0,600.0,24,7,17,29.17,182.2,7.59,1.036,-3000.0,2.08,7,17,0
6m,8,signal_close,500.0,600.0,24,10,14,41.67,115.84,4.83,1.017,-5000.0,2.71,10,14,0
6m,8,next_open,500.0,600.0,24,10,14,41.67,110.34,4.6,1.016,-5000.0,1.75,10,14,0
6m,8,next_open,200.0,400.0,91,24,67,26.37,-228.75,-2.51,0.983,-2108.61,0.7,24,67,0
6m,8,signal_close,200.0,150.0,235,81,154,34.47,-407.76,-1.74,0.987,-4559.84,1.73,80,154,1
6m,8,next_open,400.0,600.0,24,8,16,33.33,-676.14,-28.17,0.894,-4000.0,1.25,8,16,0
6m,8,signal_close,400.0,600.0,24,8,16,33.33,-691.64,-28.82,0.892,-4000.0,2.25,8,16,0
6m,8,signal_close,300.0,200.0,201,83,118,41.29,-878.49,-4.37,0.975,-7147.05,2.12,82,118,1
6m,8,signal_close,200.0,300.0,145,40,105,27.59,-961.82,-6.63,0.954,-2793.16,1.72,40,105,0
6m,8,signal_close,200.0,100.0,256,91,165,35.55,-1123.5,-4.39,0.966,-4947.98,1.73,90,165,1
6m,8,signal_close,200.0,50.0,267,96,171,35.96,-1464.29,-5.48,0.957,-5108.98,1.72,95,171,1
6m,8,signal_close,200.0,200.0,208,65,143,31.25,-1523.4,-7.32,0.947,-5513.09,1.75,64,143,1
6m,8,next_open,200.0,150.0,235,79,156,33.62,-1637.24,-6.97,0.948,-5151.43,0.73,78,156,1
6m,8,next_open,200.0,600.0,24,3,21,12.5,-1715.09,-71.46,0.592,-2600.0,0.83,3,21,0
6m,8,signal_close,200.0,600.0,24,3,21,12.5,-1717.59,-71.57,0.591,-2600.0,1.83,3,21,0
6m,8,next_open,200.0,100.0,256,90,166,35.16,-1853.96,-7.24,0.944,-5453.26,0.73,89,166,1
6m,8,next_open,200.0,50.0,267,95,172,35.58,-2181.24,-8.17,0.937,-5454.68,0.72,94,172,1
6m,8,next_open,200.0,300.0,145,38,107,26.21,-2252.79,-15.54,0.895,-3379.25,0.71,38,107,0
6m,8,next_open,200.0,200.0,208,63,145,30.29,-2805.87,-13.49,0.903,-6075.18,0.75,62,145,1
