entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars,reason
2024-07-09 20:00:00+00:00,2024-07-10 00:00:00+00:00,57861.5,57593.73689366877,58361.5,57593.73689366877,267.7631063312292,4,take_profit
2024-07-14 07:00:00+00:00,2024-07-14 08:00:00+00:00,59874.0,60374.0,60374.0,59669.498748100916,-500.0,1,stop_loss
2024-07-15 00:00:00+00:00,2024-07-15 00:00:00+00:00,60782.0,61282.0,61282.0,60354.08526659882,-500.0,0,stop_loss
2024-07-15 16:00:00+00:00,2024-07-15 16:00:00+00:00,63011.5,63511.5,63511.5,62641.62000677466,-500.0,0,stop_loss
2024-07-15 20:00:00+00:00,2024-07-15 22:00:00+00:00,63320.0,63820.0,63820.0,63208.89025511199,-500.0,2,stop_loss
2024-07-16 21:00:00+00:00,2024-07-16 22:00:00+00:00,64658.5,64226.57861169537,65158.5,64226.57861169537,431.9213883046323,1,take_profit
2024-07-22 22:00:00+00:00,2024-07-22 23:00:00+00:00,67854.5,67360.51215538429,68354.5,67360.51215538429,493.98784461570904,1,take_profit
2024-08-02 01:00:00+00:00,2024-08-02 02:00:00+00:00,64877.0,64213.15735571315,65377.0,64213.15735571315,663.8426442868513,1,take_profit
2024-08-05 17:00:00+00:00,2024-08-05 17:00:00+00:00,54036.5,54536.5,54536.5,52623.75445982312,-500.0,0,stop_loss
2024-08-06 05:00:00+00:00,2024-08-06 05:00:00+00:00,55487.0,55987.0,55987.0,54955.81805222529,-500.0,0,stop_loss
2024-08-06 07:00:00+00:00,2024-08-06 08:00:00+00:00,55757.0,55037.85292828255,56257.0,55037.85292828255,719.1470717174525,1,take_profit
2024-08-06 21:00:00+00:00,2024-08-06 22:00:00+00:00,56501.5,56001.22278538359,57001.5,56001.22278538359,500.2772146164134,1,take_profit
2024-08-07 03:00:00+00:00,2024-08-07 08:00:00+00:00,56752.5,57252.5,57252.5,56575.70889354145,-500.0,5,stop_loss
2024-08-08 05:00:00+00:00,2024-08-08 06:00:00+00:00,56766.0,57266.0,57266.0,56365.698237603116,-500.0,1,stop_loss
