window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
2y,7,next_open,200.0,300.0,654,191,463,29.2,4347.68,6.65,1.047,-6597.22,0.54,191,463,0
2y,7,next_open,200.0,400.0,440,125,315,28.41,9488.78,21.57,1.151,-3142.13,0.52,125,315,0
2y,7,next_open,200.0,600.0,174,30,144,17.24,-4582.25,-26.33,0.841,-6728.13,0.41,30,144,0
2y,7,next_open,300.0,50.0,1067,490,577,45.92,2110.66,1.98,1.012,-13428.49,0.92,489,577,1
2y,7,next_open,300.0,100.0,1037,466,571,44.94,929.79,0.9,1.005,-13886.99,0.93,465,571,1
2y,7,next_open,300.0,150.0,978,435,543,44.48,4662.38,4.77,1.029,-12132.71,0.92,434,543,1
2y,7,next_open,300.0,200.0,876,372,504,42.47,3965.81,4.53,1.026,-12069.83,0.93,371,504,1
2y,7,next_open,300.0,300.0,647,253,394,39.1,5225.6,8.08,1.044,-9264.81,0.93,253,394,0
2y,7,next_open,300.0,400.0,436,164,272,37.61,9848.89,22.59,1.121,-4830.02,0.89,164,272,0
2y,7,next_open,300.0,600.0,174,45,129,25.86,-4999.47,-28.73,0.871,-7935.53,0.74,45,129,0
2y,7,next_open,400.0,50.0,1033,556,477,53.82,8902.1,8.62,1.047,-10309.42,1.21,558,474,1
2y,7,next_open,400.0,100.0,1005,534,471,53.13,8443.78,8.4,1.045,-10365.98,1.23,536,468,1
2y,7,next_open,400.0,150.0,949,499,450,52.58,11527.48,12.15,1.064,-10579.84,1.23,500,448,1
2y,7,next_open,400.0,200.0,852,430,422,50.47,9234.13,10.84,1.055,-9070.15,1.25,430,421,1
2y,7,next_open,400.0,300.0,635,304,331,47.87,13384.41,21.08,1.101,-7000.18,1.24,305,330,0
2y,7,next_open,400.0,400.0,431,196,235,45.48,14266.99,33.1,1.152,-5183.91,1.19,197,234,0
2y,7,next_open,400.0,600.0,172,59,113,34.3,-1739.53,-10.11,0.962,-8206.13,1.04,59,113,0
2y,7,next_open,500.0,50.0,999,603,396,60.36,21355.06,21.38,1.11,-9313.09,1.55,610,388,1
2y,7,next_open,500.0,100.0,971,580,391,59.73,21384.04,22.02,1.112,-9564.77,1.57,588,382,1
2y,7,next_open,500.0,150.0,921,548,373,59.5,24144.14,26.22,1.131,-9090.35,1.56,552,368,1
2y,7,next_open,500.0,200.0,829,475,354,57.3,19282.21,23.26,1.11,-8200.13,1.6,478,350,1
2y,7,next_open,500.0,300.0,624,346,278,55.45,24062.65,38.56,1.174,-6361.38,1.59,348,276,0
2y,7,next_open,500.0,400.0,425,229,196,53.88,25755.99,60.6,1.265,-4707.21,1.59,231,194,0
2y,7,next_open,500.0,600.0,171,75,96,43.86,4212.33,24.63,1.088,-7878.52,1.55,75,96,0
2y,7,next_open,600.0,50.0,963,617,346,64.07,24514.86,25.46,1.124,-13747.87,1.84,635,327,1
2y,7,next_open,600.0,100.0,939,595,344,63.37,23261.25,24.77,1.119,-13999.55,1.86,613,325,1
2y,7,next_open,600.0,150.0,897,567,330,63.21,25612.84,28.55,1.135,-13325.13,1.86,581,315,1
2y,7,next_open,600.0,200.0,809,496,313,61.31,20574.69,25.43,1.114,-11870.54,1.89,507,301,1
2y,7,next_open,600.0,300.0,611,363,248,59.41,24737.15,40.49,1.171,-8665.11,1.87,371,240,0
2y,7,next_open,600.0,400.0,416,240,176,57.69,25175.36,60.52,1.245,-5733.32,1.91,245,171,0
2y,7,next_open,600.0,600.0,169,84,85,49.7,6506.47,38.5,1.129,-6236.25,1.99,85,84,0
2y,7,next_open,800.0,50.0,919,626,293,68.12,20311.73,22.1,1.099,-19290.47,2.23,668,250,1
2y,7,next_open,800.0,100.0,899,608,291,67.63,19389.48,21.57,1.095,-19542.15,2.25,649,249,1
2y,7,next_open,800.0,150.0,861,585,276,67.94,24099.13,27.99,1.123,-18467.73,2.25,620,240,1
2y,7,next_open,800.0,200.0,775,512,263,66.06,16997.58,21.93,1.09,-17996.35,2.31,542,232,1
2y,7,next_open,800.0,300.0,586,379,207,64.68,22607.96,38.58,1.15,-12804.34,2.32,400,186,0
2y,7,next_open,800.0,400.0,405,257,148,63.46,24429.62,60.32,1.224,-7633.44,2.4,270,135,0
2y,7,next_open,800.0,600.0,166,93,73,56.02,5576.45,33.59,1.1,-7356.23,2.5,97,69,0
2y,7,next_open,1000.0,50.0,887,623,264,70.24,15165.48,17.1,1.074,-23111.76,2.55,689,197,1
2y,7,next_open,1000.0,100.0,868,605,263,69.7,14294.33,16.47,1.07,-23425.19,2.58,671,196,1
2y,7,next_open,1000.0,150.0,831,581,250,69.92,18683.66,22.48,1.095,-21653.77,2.57,641,189,1
2y,7,next_open,1000.0,200.0,748,512,236,68.45,13658.24,18.26,1.072,-20982.39,2.66,565,182,1
2y,7,next_open,1000.0,300.0,572,385,187,67.31,18628.39,32.57,1.122,-17846.3,2.65,423,149,0
2y,7,next_open,1000.0,400.0,398,264,134,66.33,16773.18,42.14,1.145,-8850.31,2.69,284,114,0
2y,7,next_open,1000.0,600.0,163,97,66,59.51,83.61,0.51,1.001,-11502.03,2.82,102,61,0
2y,8,signal_close,200.0,50.0,1099,364,735,33.12,-5578.98,-5.08,0.962,-13734.59,1.64,363,735,1
2y,8,signal_close,200.0,100.0,1063,341,722,32.08,-6410.26,-6.03,0.956,-14281.57,1.65,340,722,1
2y,8,signal_close,200.0,150.0,1001,314,687,31.37,-3880.49,-3.88,0.972,-12989.15,1.65,313,687,1
2y,8,signal_close,200.0,200.0,894,267,627,29.87,-1707.73,-1.91,0.986,-11824.71,1.65,266,627,1
2y,8,signal_close,200.0,300.0,654,177,477,27.06,940.38,1.44,1.01,-9603.49,1.64,177,477,0
2y,8,signal_close,200.0,400.0,440,115,325,26.14,7045.73,16.01,1.108,-4542.87,1.62,115,325,0
2y,8,signal_close,200.0,600.0,174,28,146,16.09,-4876.69,-28.03,0.833,-6018.96,1.48,28,146,0
2y,8,signal_close,300.0,50.0,1066,462,604,43.34,-4856.63,-4.56,0.973,-16078.41,2.03,462,603,1
2y,8,signal_close,300.0,100.0,1036,439,597,42.37,-5732.83,-5.53,0.968,-16533.41,2.04,439,596,1
2y,8,signal_close,300.0,150.0,977,409,568,41.86,-2161.81,-2.21,0.987,-14698.0,2.03,408,568,1
2y,8,signal_close,300.0,200.0,875,348,527,39.77,-2460.82,-2.81,0.984,-14694.86,2.05,347,527,1
2y,8,signal_close,300.0,300.0,647,237,410,36.63,889.39,1.37,1.007,-11335.34,2.06,237,410,0
2y,8,signal_close,300.0,400.0,436,152,284,34.86,6312.7,14.48,1.074,-5847.51,2.03,152,284,0
2y,8,signal_close,300.0,600.0,174,42,132,24.14,-5170.07,-29.71,0.869,-8352.27,1.83,42,132,0
2y,8,signal_close,400.0,50.0,1030,525,505,50.97,-1087.46,-1.06,0.995,-13504.56,2.37,527,502,1
2y,8,signal_close,400.0,100.0,1002,504,498,50.3,-1115.24,-1.11,0.994,-14024.94,2.38,506,495,1
2y,8,signal_close,400.0,150.0,947,471,476,49.74,2299.14,2.43,1.012,-13692.33,2.38,472,474,1
2y,8,signal_close,400.0,200.0,850,405,445,47.65,1157.94,1.36,1.007,-11698.49,2.41,405,444,1
2y,8,signal_close,400.0,300.0,634,285,349,44.95,6830.63,10.77,1.049,-10597.91,2.41,286,348,0
2y,8,signal_close,400.0,400.0,430,182,248,42.33,9028.51,21.0,1.091,-6770.2,2.38,183,247,0
2y,8,signal_close,400.0,600.0,172,57,115,33.14,-994.17,-5.78,0.978,-9258.42,2.16,57,115,0
2y,8,signal_close,500.0,50.0,994,573,421,57.65,10500.54,10.56,1.051,-10936.37,2.74,579,414,1
2y,8,signal_close,500.0,100.0,966,551,415,57.04,11071.61,11.46,1.054,-11174.33,2.76,558,407,1
2y,8,signal_close,500.0,150.0,918,520,398,56.64,13748.27,14.98,1.07,-11052.11,2.75,524,393,1
2y,8,signal_close,500.0,200.0,826,451,375,54.6,11014.58,13.33,1.059,-10685.55,2.8,454,371,1
2y,8,signal_close,500.0,300.0,624,327,297,52.4,16038.34,25.7,1.109,-7754.3,2.81,329,295,0
2y,8,signal_close,500.0,400.0,425,216,209,50.82,20208.31,47.55,1.195,-6291.1,2.82,218,207,0
2y,8,signal_close,500.0,600.0,171,73,98,42.69,4792.07,28.02,1.098,-7888.38,2.75,73,98,0
2y,8,signal_close,600.0,50.0,957,592,365,61.86,13485.59,14.09,1.064,-15747.88,3.05,605,351,1
2y,8,signal_close,600.0,100.0,932,569,363,61.05,12170.98,13.06,1.058,-15985.84,3.06,582,349,1
2y,8,signal_close,600.0,150.0,892,542,350,60.76,14483.3,16.24,1.071,-15309.19,3.06,552,339,1
2y,8,signal_close,600.0,200.0,804,473,331,58.83,10400.32,12.94,1.054,-13891.32,3.11,480,323,1
2y,8,signal_close,600.0,300.0,611,348,263,56.96,17231.38,28.2,1.111,-10945.36,3.09,353,258,0
2y,8,signal_close,600.0,400.0,415,229,186,55.18,20198.7,48.67,1.184,-6267.44,3.14,232,183,0
2y,8,signal_close,600.0,600.0,169,82,87,48.52,6728.09,39.81,1.129,-6686.05,3.17,82,87,0
2y,8,signal_close,800.0,50.0,911,611,300,67.07,14133.29,15.51,1.065,-22565.81,3.5,643,267,1
2y,8,signal_close,800.0,100.0,891,593,298,66.55,13250.18,14.87,1.061,-22803.78,3.52,624,266,1
2y,8,signal_close,800.0,150.0,854,570,284,66.74,17869.26,20.92,1.086,-21727.12,3.52,596,257,1
2y,8,signal_close,800.0,200.0,770,500,270,64.94,10261.49,13.33,1.051,-21304.2,3.59,519,250,1
2y,8,signal_close,800.0,300.0,585,371,214,63.42,17469.86,29.86,1.108,-16338.68,3.64,385,200,0
2y,8,signal_close,800.0,400.0,403,249,154,61.79,19898.52,49.38,1.171,-9605.38,3.75,258,145,0
2y,8,signal_close,800.0,600.0,166,91,75,54.82,4400.49,26.51,1.075,-8845.93,3.8,93,73,0
2y,8,signal_close,1000.0,50.0,877,607,270,69.21,9325.33,10.63,1.043,-25522.32,3.85,666,210,1
2y,8,signal_close,1000.0,100.0,858,589,269,68.65,8490.91,9.9,1.039,-25817.55,3.88,648,209,1
2y,8,signal_close,1000.0,150.0,822,565,257,68.73,12779.95,15.55,1.061,-23770.99,3.88,619,202,1
2y,8,signal_close,1000.0,200.0,739,498,241,67.39,8404.54,11.37,1.042,-22787.68,3.99,544,194,1
2y,8,signal_close,1000.0,300.0,569,376,193,66.08,14710.67,25.85,1.09,-21016.52,4.02,410,159,0
2y,8,signal_close,1000.0,400.0,396,256,140,64.65,13150.54,33.21,1.107,-9356.97,4.12,275,121,0
2y,8,signal_close,1000.0,600.0,163,94,69,57.67,-1453.73,-8.92,0.977,-11964.36,4.2,99,64,0
2y,8,next_open,200.0,50.0,1098,367,731,33.42,-4053.8,-3.69,0.972,-12989.15,0.65,366,731,1
2y,8,next_open,200.0,100.0,1062,344,718,32.39,-4889.07,-4.6,0.966,-13531.13,0.66,343,718,1
