window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
6m,7,next_open,1000.0,150.0,197,153,44,77.66,17714.35,89.92,1.561,-4649.53,2.56,167,29,1
6m,7,signal_close,1000.0,150.0,197,153,44,77.66,17578.35,89.23,1.556,-4627.53,3.56,167,29,1
6m,7,next_open,1000.0,100.0,207,159,48,76.81,17424.52,84.18,1.532,-4649.53,2.55,176,30,1
6m,7,signal_close,1000.0,100.0,207,159,48,76.81,17281.02,83.48,1.528,-4627.53,3.55,176,30,1
6m,7,next_open,1000.0,50.0,211,163,48,77.25,17240.18,81.71,1.516,-4649.53,2.5,179,31,1
6m,7,signal_close,1000.0,50.0,211,163,48,77.25,17083.18,80.96,1.511,-4627.53,3.5,179,31,1
6m,7,next_open,800.0,50.0,219,160,59,73.06,13237.26,60.44,1.352,-5005.59,2.21,173,45,1
6m,7,signal_close,800.0,50.0,219,160,59,73.06,13049.76,59.59,1.347,-5149.09,3.21,173,45,1
6m,7,next_open,800.0,100.0,214,156,58,72.9,12983.61,60.67,1.347,-5124.8,2.23,168,45,1
6m,7,next_open,800.0,150.0,203,149,54,73.4,12937.75,63.73,1.355,-5228.77,2.24,158,44,1
6m,7,signal_close,800.0,100.0,214,156,58,72.9,12811.61,59.87,1.343,-5252.8,3.21,168,45,1
6m,7,signal_close,800.0,150.0,203,149,54,73.4,12773.25,62.92,1.351,-5355.27,3.22,158,44,1
6m,7,next_open,1000.0,200.0,172,128,44,74.42,12770.28,74.25,1.404,-4960.35,2.84,142,29,1
6m,7,next_open,600.0,100.0,224,156,68,69.64,12714.83,56.76,1.344,-4442.67,1.9,162,61,1
6m,7,signal_close,1000.0,200.0,172,128,44,74.42,12695.28,73.81,1.402,-4939.35,3.84,142,29,1
6m,7,next_open,600.0,50.0,229,160,69,69.87,12627.67,55.14,1.337,-4664.27,1.91,166,62,1
6m,7,next_open,600.0,150.0,211,146,65,69.19,12024.55,56.99,1.332,-4922.24,1.9,150,60,1
6m,7,signal_close,600.0,100.0,224,155,69,69.2,11952.0,53.36,1.319,-4557.17,2.87,161,62,1
6m,7,signal_close,600.0,50.0,230,160,70,69.57,11911.67,51.79,1.312,-4792.27,2.87,166,63,1
6m,7,next_open,500.0,100.0,232,153,79,65.95,11567.99,49.86,1.311,-2692.41,1.56,157,74,1
6m,7,signal_close,600.0,150.0,211,145,66,68.72,11268.72,53.41,1.306,-5035.24,2.87,149,61,1
6m,7,next_open,500.0,50.0,241,160,81,66.39,11093.47,46.03,1.287,-2796.46,1.52,163,77,1
6m,7,next_open,1000.0,300.0,124,91,33,73.39,10893.9,87.85,1.438,-5263.41,2.81,100,24,0
6m,7,signal_close,1000.0,300.0,124,91,33,73.39,10858.9,87.57,1.436,-5245.41,3.81,100,24,0
6m,7,signal_close,500.0,100.0,232,152,80,65.52,10693.32,46.09,1.283,-2749.95,2.55,156,75,1
6m,7,next_open,500.0,150.0,217,141,76,64.98,10439.94,48.11,1.285,-3129.19,1.54,143,73,1
6m,7,signal_close,500.0,50.0,241,159,82,65.98,10205.3,42.35,1.261,-2910.96,2.51,162,78,1
6m,7,signal_close,500.0,150.0,217,140,77,64.52,9571.27,44.11,1.258,-3216.19,2.53,142,74,1
6m,7,next_open,400.0,100.0,242,145,97,59.92,8366.37,34.57,1.218,-3619.43,1.23,145,96,1
6m,7,next_open,400.0,50.0,250,151,99,60.4,8350.35,33.4,1.213,-3513.45,1.22,151,98,1
6m,7,next_open,400.0,150.0,223,131,92,58.74,8261.07,37.05,1.227,-3732.58,1.25,131,91,1
6m,7,signal_close,400.0,100.0,242,145,97,59.92,8166.37,33.75,1.212,-3742.43,2.24,145,96,1
6m,7,signal_close,400.0,50.0,250,151,99,60.4,8137.85,32.55,1.207,-3649.95,2.23,151,98,1
6m,7,signal_close,400.0,150.0,223,131,92,58.74,8084.07,36.25,1.222,-3854.08,2.25,131,91,1
6m,7,next_open,800.0,200.0,177,123,54,69.49,7786.2,43.99,1.214,-6395.57,2.47,132,44,1
6m,7,signal_close,800.0,200.0,177,123,54,69.49,7681.7,43.4,1.211,-6499.57,3.45,132,44,1
