entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars,reason
2026-01-08 20:00:00+00:00,2026-01-09 01:00:00+00:00,90900.5,90816.6921669055,91900.5,90816.6921669055,83.80783309449907,5,take_profit
2026-01-12 07:00:00+00:00,2026-01-12 07:00:00+00:00,91799.0,91467.27255170162,92799.0,91467.27255170162,331.72744829837757,0,take_profit
2026-01-12 18:00:00+00:00,2026-01-12 21:00:00+00:00,91479.5,91086.13032686466,92479.5,91086.13032686466,393.36967313534115,3,take_profit
2026-01-13 08:00:00+00:00,2026-01-13 14:00:00+00:00,91917.0,91801.53542536596,92917.0,91801.53542536596,115.46457463403931,6,take_profit
2026-01-14 05:00:00+00:00,2026-01-14 06:00:00+00:00,95202.5,94769.56938712901,96202.5,94769.56938712901,432.9306128709868,1,take_profit
2026-01-14 19:00:00+00:00,2026-01-14 20:00:00+00:00,96770.5,97770.5,97770.5,96365.6449526939,-1000.0,1,stop_loss
2026-01-14 23:00:00+00:00,2026-01-15 00:00:00+00:00,96852.0,96628.3271139383,97852.0,96628.3271139383,223.6728860617004,1,take_profit
2026-01-15 11:00:00+00:00,2026-01-15 14:00:00+00:00,96772.5,96240.54430415231,97772.5,96240.54430415231,531.9556958476896,3,take_profit
2026-01-17 01:00:00+00:00,2026-01-17 02:00:00+00:00,95421.0,95195.14144828076,96421.0,95195.14144828076,225.8585517192405,1,take_profit
2026-01-19 10:00:00+00:00,2026-01-19 13:00:00+00:00,93009.5,92815.13732845226,94009.5,92815.13732845226,194.36267154774396,3,take_profit
2026-01-19 18:00:00+00:00,2026-01-19 18:00:00+00:00,93204.0,92897.28454181046,94204.0,92897.28454181046,306.71545818954473,0,take_profit
2026-01-21 07:00:00+00:00,2026-01-21 07:00:00+00:00,89626.5,89134.47410273223,90626.5,89134.47410273223,492.0258972677693,0,take_profit
2026-01-21 23:00:00+00:00,2026-01-22 08:00:00+00:00,89738.5,89720.66880631131,90738.5,89720.66880631131,17.831193688689382,9,take_profit
2026-01-23 03:00:00+00:00,2026-01-23 05:00:00+00:00,89619.5,89512.702584148,90619.5,89512.702584148,106.79741585199372,2,take_profit
2026-01-23 20:00:00+00:00,2026-01-23 20:00:00+00:00,89947.5,89456.1330031949,90947.5,89456.1330031949,491.3669968050963,0,take_profit
2026-01-24 06:00:00+00:00,2026-01-24 07:00:00+00:00,89752.5,89577.45841970848,90752.5,89577.45841970848,175.04158029152313,1,take_profit
