entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars,reason
2024-02-12 19:00:00+00:00,2024-02-12 20:00:00+00:00,49566.0,50166.0,50166.0,49176.67683754062,-600.0,1,stop_loss
2024-02-12 21:00:00+00:00,2024-02-13 10:00:00+00:00,49853.0,49895.760353938895,50453.0,49895.760353938895,-42.760353938894696,13,take_profit
2024-02-14 15:00:00+00:00,2024-02-14 19:00:00+00:00,51616.0,51240.682545150696,52216.0,51240.682545150696,375.31745484930434,4,take_profit
2024-02-27 03:00:00+00:00,2024-02-27 06:00:00+00:00,55685.0,56285.0,56285.0,55316.62148369438,-600.0,3,stop_loss
2024-02-27 07:00:00+00:00,2024-02-27 09:00:00+00:00,56103.0,56703.0,56703.0,55719.45976530476,-600.0,2,stop_loss
2024-02-29 00:00:00+00:00,2024-02-29 04:00:00+00:00,61386.0,61986.0,61986.0,60971.2213958433,-600.0,4,stop_loss
2024-03-01 19:00:00+00:00,2024-03-01 20:00:00+00:00,62233.0,62833.0,62833.0,61824.820885160814,-600.0,1,stop_loss
2024-03-01 21:00:00+00:00,2024-03-02 01:00:00+00:00,62541.5,62076.333292975294,63141.5,62076.333292975294,465.16670702470583,4,take_profit
2024-03-04 03:00:00+00:00,2024-03-04 07:00:00+00:00,63485.5,64085.5,64085.5,63255.897725024566,-600.0,4,stop_loss
2024-03-05 02:00:00+00:00,2024-03-05 04:00:00+00:00,68226.0,67370.8452867579,68826.0,67370.8452867579,855.1547132420965,2,take_profit
2024-03-06 09:00:00+00:00,2024-03-06 10:00:00+00:00,66170.5,66770.5,66770.5,65371.392374929965,-600.0,1,stop_loss
2024-03-06 18:00:00+00:00,2024-03-06 22:00:00+00:00,67118.0,66267.18872167809,67718.0,66267.18872167809,850.8112783219112,4,take_profit
2024-03-08 15:00:00+00:00,2024-03-08 16:00:00+00:00,67844.5,67107.62837892654,68444.5,67107.62837892654,736.8716210734565,1,take_profit
2024-03-11 13:00:00+00:00,2024-03-11 14:00:00+00:00,71523.0,72123.0,72123.0,71002.41730869559,-600.0,1,stop_loss
2024-03-11 15:00:00+00:00,2024-03-11 16:00:00+00:00,72004.0,72604.0,72604.0,71359.4252855072,-600.0,1,stop_loss
2024-03-11 22:00:00+00:00,2024-03-12 03:00:00+00:00,72496.0,71936.52484115788,73096.0,71936.52484115788,559.4751588421204,5,take_profit
2024-03-13 20:00:00+00:00,2024-03-14 00:00:00+00:00,73099.5,72792.55821294546,73699.5,72792.55821294546,306.94178705454397,4,take_profit
2024-03-14 23:00:00+00:00,2024-03-15 00:00:00+00:00,71409.0,72009.0,72009.0,70811.82935100626,-600.0,1,stop_loss
2024-03-15 01:00:00+00:00,2024-03-15 02:00:00+00:00,71678.0,70334.18071850996,72278.0,70334.18071850996,1343.8192814900394,1,take_profit
2024-03-15 19:00:00+00:00,2024-03-15 20:00:00+00:00,69000.0,67869.75276477935,69600.0,67869.75276477935,1130.2472352206532,1,take_profit
2024-03-16 01:00:00+00:00,2024-03-16 05:00:00+00:00,69406.0,68817.0755067037,70006.0,68817.0755067037,588.9244932963047,4,take_profit
2024-03-17 20:00:00+00:00,2024-03-18 00:00:00+00:00,68317.5,67778.86817179898,68917.5,67778.86817179898,538.6318282010179,4,take_profit
2024-03-18 06:00:00+00:00,2024-03-18 08:00:00+00:00,68498.0,67827.32312662456,69098.0,67827.32312662456,670.6768733754434,2,take_profit
